id,family,description,canonicalForm,canonicalExample,matchExample,citationType,isCanonical,isNeutral,jurisdiction,pattern
5,EWHC Ch,High Court (Chancery Division),[dddd] EWHC d+ (Ch),[2022] EWHC 123 (Ch),[2022] EWHC 123 (Ch),NCitYearAbbrNumDiv,True,True,EW,"{""id"": ""5"", ""description"": ""High Court (Chancery Division)"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""EWHC""} , {""LIKE_NUM"": true}, {""ORTH"": ""(""}, {""ORTH"": ""Ch""}, {""ORTH"": "")""}]}"
6,EWHC Comm,High Court (Commercial Court),[dddd] EWHC d+ (Comm),[2022] EWHC 123 (Comm),[2022] EWHC 123 (Comm),NCitYearAbbrNumDiv,True,True,EW,"{""id"": ""6"", ""description"": ""High Court (Commercial Court)"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""EWHC""} , {""LIKE_NUM"": true}, {""ORTH"": ""(""}, {""ORTH"": ""Comm""}, {""ORTH"": "")""}]}"
7,EWHC Costs,High Court (Senior Court Costs Office),[dddd] EWHC d+ (Costs),[2022] EWHC 123 (Costs),[2022] EWHC 123 (Costs),NCitYearAbbrNumDiv,True,True,EW,"{""id"": ""7"", ""description"": ""High Court (Senior Court Costs Office)"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""EWHC""} , {""LIKE_NUM"": true}, {""ORTH"": ""(""}, {""ORTH"": ""Costs""}, {""ORTH"": "")""}]}"
8,EWHC Fam,High Court (Family Division),[dddd] EWHC d+ (Fam),[2022] EWHC 123 (Fam),[2022] EWHC 123 (Fam),NCitYearAbbrNumDiv,True,True,EW,"{""id"": ""8"", ""description"": ""High Court (Family Division)"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""EWHC""} , {""LIKE_NUM"": true}, {""ORTH"": ""(""}, {""ORTH"": ""Fam""}, {""ORTH"": "")""}]}"
9,EWHC IPEC,Intellectual Property Enterprise Court,[dddd] EWHC d+ (IPEC),[2022] EWHC 123 (IPEC),[2022] EWHC 123 (IPEC),NCitYearAbbrNumDiv,True,True,EW,"{""id"": ""9"", ""description"": ""Intellectual Property Enterprise Court "" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""EWHC""} , {""LIKE_NUM"": true}, {""ORTH"": ""(""}, {""ORTH"": ""IPEC""}, {""ORTH"": "")""}]}"
10,EWHC Mercantile,High Court (Mercantile Court),[dddd] EWHC d+ (Mercantile),[2022] EWHC 123 (Mercantile),[2022] EWHC 123 (Mercantile),NCitYearAbbrNumDiv,True,True,EW,"{""id"": ""10"", ""description"": ""High Court (Mercantile Court)"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""EWHC""} , {""LIKE_NUM"": true}, {""ORTH"": ""(""}, {""ORTH"": ""Mercantile""}, {""ORTH"": "")""}]}"
11,EWHC Pat,High Court (Patents Court),[dddd] EWHC d+ (Pat),[2022] EWHC 123 (Pat),[2022] EWHC 123 (Pat),NCitYearAbbrNumDiv,True,True,EW,"{""id"": ""11"", ""description"": ""High Court (Patents Court)"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""EWHC""} , {""LIKE_NUM"": true}, {""ORTH"": ""(""}, {""ORTH"": ""Pat""}, {""ORTH"": "")""}]}"
12,EWHC TCC,High Court (Queen's Bench Division),[dddd] EWHC d+ (QB),[2022] EWHC 123 (QB),[2022] EWHC 123 (QB),NCitYearAbbrNumDiv,True,True,EW,"{""id"": ""12"", ""description"": ""High Court (Queen's Bench Division)"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""EWHC""} , {""LIKE_NUM"": true}, {""ORTH"": ""(""}, {""ORTH"": ""QB""}, {""ORTH"": "")""}]}"
13,EWHC QB,High Court (Technology and Construction Court),[dddd] EWHC d+ (TCC),[2022] EWHC 123 (TCC),[2022] EWHC 123 (TCC),NCitYearAbbrNumDiv,True,True,EW,"{""id"": ""13"", ""description"": ""High Court (Technology and Construction Court)"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""EWHC""} , {""LIKE_NUM"": true}, {""ORTH"": ""(""}, {""ORTH"": ""TCC""}, {""ORTH"": "")""}]}"
14,EWCOP,Court of Protection,[dddd] EWCOP d+,[2022] EWCOP 123,[2022] EWCOP 123,NCitYearAbbrNum,True,True,EW,"{""id"": ""14"", ""description"": ""Court of Protection"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""EWCOP""} , {""LIKE_NUM"": true}]}"
15,EWFC,Family Court,[dddd] EWFC d+,[2022] EWFC 123,[2022] EWFC 123,NCitYearAbbrNum,True,True,EW,"{""id"": ""15"", ""description"": ""Family Court"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""EWFC""} , {""LIKE_NUM"": true}]}"
16,UKSC,United Kingdom Supreme Court,[dddd] UKSC d+,[2022] UKSC 123,[2022] UKSC 123,NCitYearAbbrNum,True,True,UK,"{""id"": ""16"", ""description"": ""United Kingdom Supreme Court"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""UKSC""} , {""LIKE_NUM"": true}]}"
17,UKPC,Judical Committee of the Privy Council,[dddd] UKPC d+,[2022] UKPC 123,[2022] UKPC 123,NCitYearAbbrNum,True,True,UK,"{""id"": ""17"", ""description"": ""Judicial Committee of the Privy Council"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""UKPC""} , {""LIKE_NUM"": true}]}"
18,UKHL,United Kingdom House of Lords,[dddd] UKHL d+,[2005] UKHL 123,[2005] UKHL 123,NCitYearAbbrNum,True,True,UK,"{""id"": ""18"", ""description"": ""Judicial Committee of the House of Lords"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""UKHL""} , {""LIKE_NUM"": true}]}"
19,UT (AAC),Upper Tribunal (Administrative Appeals Chamber),[dddd] UKUT d+ (AAC),[2022] UKUT 123 (AAC),[2022] UKUT 123 (AAC),NCitYearAbbrNumDiv,True,True,UK,"{""id"": ""19"", ""description"": ""Upper Tribunal (Administrative Appeals Chamber)"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""UKUT""} , {""LIKE_NUM"": true}, {""ORTH"": ""(""}, {""ORTH"": ""AAC""}, {""ORTH"": "")""}]}"
20,UT (TCC),Upper Tribunal (Tax and Chancery Chamber),[dddd] UKUT d+ (TCC),[2022] UKUT 123 (TCC),[2022] UKUT 123 (TCC),NCitYearAbbrNumDiv,True,True,UK,"{""id"": ""20"", ""description"": ""Upper Tribunal (Tax and Chancery Chamber)"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""UKUT""} , {""LIKE_NUM"": true}, {""ORTH"": ""(""}, {""ORTH"": ""TCC""}, {""ORTH"": "")""}]}"
21,UT (IAC),Upper Tribunal (Immigration and Asylum Chamber),[dddd] UKUT d+ (IAC),[2022] UKUT 123 (IAC),[2022] UKUT 123 (IAC),NCitYearAbbrNumDiv,True,True,UK,"{""id"": ""21"", ""description"": ""Upper Tribunal (Immigration and Asylum Chamber)"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""UKUT""} , {""LIKE_NUM"": true}, {""ORTH"": ""(""}, {""ORTH"": ""IAC""}, {""ORTH"": "")""}]}"
22,UT (LC),Upper Tribunal (Lands Chamber),[dddd] UKUT d+ (LC),[2022] UKUT 123 (LC),[2022] UKUT 123 (LC),NCitYearAbbrNumDiv,True,True,UK,"{""id"": ""22"", ""description"": ""Upper Tribunal (Immigration and Asylum Chamber)"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""UKUT""} , {""LIKE_NUM"": true}, {""ORTH"": ""(""}, {""ORTH"": ""LC""}, {""ORTH"": "")""}]}"
23,FTT (GRC),First-tier Tribunal (General Regulatory Chamber),[dddd] UKFTT d1_d2 (GRC),[2022] UKFTT 2020_0341 (GRC),[2022] UKFTT 2020_0341 (GRC),NCitYearAbbrNumUnderNumDiv,True,True,UK,"{""id"": ""23"", ""description"": ""First-tier Tribunal (General Regulatory Chamber)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""UKFTT""}, {""TEXT"": {""REGEX"": ""\\d+_\\d+""}}, {""ORTH"": ""(""}, {""ORTH"": ""GRC""}, {""ORTH"": "")""}]}"
23a,FTT (GRC),First-tier Tribunal (General Regulatory Chamber),[dddd] UKFTT d1_d2 (GRC),[2022] UKFTT 2020_0341 (GRC),[2022] UKFTT 2020_0341 (GCR),NCitYearAbbrNumUnderNumDiv,False,True,UK,"{""id"": ""23a"", ""description"": ""First-tier Tribunal (General Regulatory Chamber)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""UKFTT""}, {""TEXT"": {""REGEX"": ""\\d+_\\d+""}}, {""ORTH"": ""(""}, {""ORTH"": ""GCR""}, {""ORTH"": "")""}]}"
23b,FTT (GRC),First-tier Tribunal (General Regulatory Chamber),[dddd] UKFTT d1_d2 (GRC),[2022] UKFTT 2020_0341 (GRC),[2022] UKFTT 2020/0341 (GRC),NCitYearAbbrNumUnderNumDiv,False,True,UK,"{""id"": ""23b"", ""description"": ""First-tier Tribunal (General Regulatory Chamber)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""UKFTT""}, {""TEXT"": {""REGEX"": ""\\d+\\/\\d+""}}, {""ORTH"": ""(""}, {""ORTH"": ""GRC""}, {""ORTH"": "")""}]}"
24,FTT (HESC),"First-tier Tribunal (Health, Education and Social Care Chamber)",[dddd] UKFTT d+ (HESC),[2022] UKFTT 123 (HESC),[2022] UKFTT 123 (HESC),NCitYearAbbrNumDiv,True,True,UK,"{""id"": ""24"", ""description"": ""First-tier Tribunal (Health, Education and Social Care Chamber)"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""UKFTT""} , {""LIKE_NUM"": true}, {""ORTH"": ""(""}, {""ORTH"": ""HESC""}, {""ORTH"": "")""}]}"
25,FTT (TC),First-tier Tribunal (Tax Chamber),[dddd] UKFTT d+ (TC),[2022] UKFTT 123 (TC),[2022] UKFTT 123 (TC),NCitYearAbbrNumDiv,True,True,UK,"{""id"": ""25"", ""description"": ""First-tier Tribunal (Tax Chamber)"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""UKFTT""} , {""LIKE_NUM"": true}, {""ORTH"": ""(""}, {""ORTH"": ""TC""}, {""ORTH"": "")""}]}"
26,UKCAT,United Kingdom Competition Appeals Tribunal,[dddd] CAT d+,[2022] CAT 123,[2022] CAT 123,NCitYearAbbrNum,True,True,UK,"{""id"": ""26"", ""description"": ""United Kingdom Competition Appeals Tribunal"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""CAT""} , {""LIKE_NUM"": true}]}"
27,EAT,United Kingdom Employment Appeal Tribunal,[dddd] EAT d+,[2022] EAT 123,[2022] EAT 123,NCitYearAbbrNum,True,True,UK,"{""id"": ""27"", ""description"": ""United Kingdom Employment Appeal Tribunal"" ,""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""EAT""} , {""LIKE_NUM"": true}]}"
28,UKET,United Kingdom Employment Tribunal,[dddd] UKET d1/d2,[2022] UKET 123456/2022,[2022] UKET 123456/2022,NCitYearAbrrNumStrokeNum,True,True,UK,"{""id"": ""28"", ""description"": ""United Kingdom Employment Tribunal"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""UKET""}, {""TEXT"": {""REGEX"": ""\\d+\\/\\d+""}}]}"
28a,UKET,United Kingdom Employment Tribunal,[dddd] UKET d1/d2,[2022] UKET 123456/2022,[2022] UKET 123456_2022,NCitYearAbrrNumStrokeNum,False,True,UK,"{""id"": ""28a"", ""description"": ""United Kingdom Employment Tribunal"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""UKET""}, {""TEXT"": {""REGEX"": ""\\d+_\\d+""}}]}"
29,WLR,The Weekly Law Reports (ICLR),[dddd] d1 WLR d2,[2022] 1 WLR 123,[2022] 1 WLR 123,PubYearNumAbbrNum,True,False,EW,"{""id"": ""29"", ""description"": ""The Weekly Law Reports (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""SHAPE"": ""d""}, {""ORTH"": ""WLR""},{""LIKE_NUM"": true}]}"
30,ICR,The Industrial Cases Reports (ICR),[dddd] ICR d+,[2022] ICR 123,[2022] ICR 123,PubYearAbbrNum,True,False,EW,"{""id"": ""30"", ""description"": ""Industrial Cases Reports (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""ICR""},{""LIKE_NUM"": true}]}"
31,PTSR,The Public & Third Sector Reports (ICLR),[dddd] PTSR d+,[2022] PTSR 123,[2022] PTSR 123,PubYearAbbrNum,True,False,EW,"{""id"": ""31"", ""description"": ""Public & Third Sector Reports (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""PTSR""},{""LIKE_NUM"": true}]}"
32,Bus LR,The Business Law Reports (ICLR),[dddd] Bus LR d+,[2022] Bus LR 123,[2022] Bus LR 123,PubYearAbbrNum,True,False,EW,"{""id"": ""32"", ""description"": ""The Business Law Reports (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""Bus""},{""ORTH"": ""LR""},{""LIKE_NUM"": true}]}"
33,The Law Reports (Appeal Cases),Appeal Cases (1890-Present) (Single-Volume) (ICLR),[dddd] AC d+,[2022] AC 123,[2022] AC 123,PubYearAbbrNum,True,False,EW,"{""id"": ""33"", ""description"": ""The Business Law Reports (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""AC""},{""LIKE_NUM"": true}]}"
34,The Law Reports (Appeal Cases),Appeal Cases (1890-Present) (Multi-Volume) (ICLR),[dddd] d1 AC d2,[2022] 1 AC 123,[2022] 1 AC 123,PubYearAbbrNum,True,False,EW,"{""id"": ""34"", ""description"": ""Appeal Cases (1890-Present) (Multi-Volume) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""SHAPE"": ""d""},{""ORTH"": ""AC""},{""LIKE_NUM"": true}]}"
35,The Law Reports (Appeal Cases),Appeal Cases (1875-1890) (ICLR),d1 App Cas d2,1 App Cas 123,1 App Cas 123,PubNumAbbrNum,True,False,EW,"{""id"": ""35"", ""description"": ""Appeal Cases (1875-1890) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""SHAPE"": ""d""},{""ORTH"": ""App""}, {""ORTH"": ""Cas""}, {""LIKE_NUM"": true}]}"
36,The Law Reports (Admiralty and Ecclesiastical),Admiralty and Ecclesiastical (1865-1875) (ICLR),LR d1 AE d2,LR 1 AE 123,LR 1 AE 123,PubAbbrNumAbbrNum,True,False,EW,"{""id"": ""36"", ""description"": ""Admiralty and Ecclesiastical (1865-1875) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""LR""}, {""SHAPE"": ""d""},{""ORTH"": ""AE""}, {""LIKE_NUM"": true}]}"
36a,The Law Reports (Admiralty and Ecclesiastical),Admiralty and Ecclesiastical (1865-1875) (ICLR),LR d1 AE d2,LR 1 AE 123,LR 1 A&E 123,PubAbbrNumAbbrNum,False,False,EW,"{""id"": ""36a"", ""description"": ""Admiralty and Ecclesiastical (1865-1875) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""LR""}, {""SHAPE"": ""d""},{""ORTH"": ""A&E""}, {""LIKE_NUM"": true}]}"
37,The Law Reports (Chancery Appeals),Chancery Appeals (1865-1875) (ICLR),LR d1 Ch App d2,LR 1 Ch App 123,LR 1 Ch App 123,PubAbbrNumAbbrNum,True,False,EW,"{""id"": ""37"", ""description"": ""Chancery Appeals (1865-1875) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""LR""}, {""SHAPE"": ""d""},{""ORTH"": ""Ch""}, {""ORTH"": ""App""}, {""LIKE_NUM"": true}]}"
38,The Law Reports (Chancery Division),Chancery Division (1875-1890) (ICLR),d1 ChD d2,1 ChD 123,1 ChD 123,PubNumAbbrNum,True,False,EW,"{""id"": ""38"", ""description"": ""Chancery Division (1875-1890) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""SHAPE"": ""d""},{""ORTH"": ""ChD""}, {""LIKE_NUM"": true}]}"
39,The Law Reports (Chancery Division),Chancery Division (1890-Present) (Single-Volume) (ICLR),[dddd] Ch d+,[2022] Ch 123,[2022] Ch 123,PubYearAbbrNum,True,False,EW,"{""id"": ""39"", ""description"": ""Chancery Division (1890-Present) (Single-Volume) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""ORTH"": ""Ch""},{""LIKE_NUM"": true}]}"
40,The Law Reports (Chancery Division),Chancery Division (1890-Present) (Multi-Volume) (ICLR),[dddd] d1 Ch d2,[2022] 1 Ch 123,[2022] 1 Ch 123,PubYearNumAbbrNum,True,False,EW,"{""id"": ""40"", ""description"": ""Chancery Division (1890-Present) (Multi-Volume) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""[""}, {""SHAPE"": ""dddd""}, {""ORTH"": ""]""}, {""SHAPE"": ""d""}, {""ORTH"": ""Ch""}, {""LIKE_NUM"": true}]}"
41,The Law Reports (Common Pleas),The Law Reports (Common Pleas) (1865-1875) (ICLR),LR d1 CP d2,LR 1 CP 123,LR 1 CP 123,PubAbbrNumAbbrNum,True,False,EW,"{""id"": ""41"", ""description"": ""The Law Reports (Common Pleas) (1865-1875) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""LR""}, {""SHAPE"": ""d""},{""ORTH"": ""CP""}, {""LIKE_NUM"": true}]}"
42,The Law Reports (Common Pleas Division),The Law Reports (Common Pleas Division) (1875-1880) (ICLR),d1 CPD d2,1 CPD 123,1 CPD 123,c,True,False,EW,"{""id"": ""42"", ""description"": ""The Law Reports (Common Pleas Division) (1875-1880) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""SHAPE"": ""d""},{""ORTH"": ""CPD""},{""LIKE_NUM"": true}]}"
43,The Law Reports (Crown Cases Reserved),The Law Reports (Crown Cases Reserved) (1865-1875) (ICLR),LR d1 CCR d2,LR 1 CCR 123,LR 1 CCR 123,PubAbbrNumAbbrNum,True,False,EW,"{""id"": ""43"", ""description"": ""The Law Reports (Crown Cases Reserved) (1765-1875) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""LR""}, {""SHAPE"": ""d""},{""ORTH"": ""CCR""},{""LIKE_NUM"": true}]}"
44,The Law Reports (Crown Cases Reserved),The Law Reports (Crown Cases Reserved) (1865-1875) (ICLR),LR d1 CCR d2,LR 1 CCR 123,LR 1 CCR 123,PubAbbrNumAbbrNum,True,False,EW,"{""id"": ""44"", ""description"": ""The Law Reports (Crown Cases Reserved) (1765-1875) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""LR""}, {""SHAPE"": ""d""},{""ORTH"": ""CCR""},{""LIKE_NUM"": true}]}"
45,The Law Reports (Equity Cases),The Law Reports (Equity Cases) (1865-1875) (ICLR),LR d1 Eq d2,LR 1 Eq 123,LR 1 Eq 123,PubAbbrNumAbbrNum,True,False,EW,"{""id"": ""45"", ""description"": ""The Law Reports (Equity Cases) (1865-1875) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""LR""}, {""SHAPE"": ""d""},{""ORTH"": ""Eq""},{""LIKE_NUM"": true}]}"
46,The Law Reports (Exchequer Cases),The Law Reports (Exchequer Cases) (1865-1875) (ICLR),LR d1 Exch d2,LR 1 Exch 123,LR 1 Exch 123,PubAbbrNumAbbrNum,True,False,EW,"{""id"": ""46"", ""description"": ""The Law Reports (Exchequer Cases) (1865-1875) (ICLR)"", ""label"": ""CITATION"", ""pattern"": [{""ORTH"": ""LR""}, {""SHAPE"": ""d""},{""ORTH"": ""Exch""},{""LIKE_NUM"": true}]}"
