Filename,Original,RuleName,CitationType,MatchType,Vids,Nodes,Content,Error,Notes,ExtractedSeries
s3://vlex-tna-files/ewhc/costs/2008/2008-ewhc-90105-costs.xml,"v Wakeling </span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='805897905'>[2007] EWHC 1184 (Ch)</citation>, to support",Neutral HC,Caselaw,SyntalexMatch,805897905,,[2007] EWHC 1184 (Ch),,Resolved match,EWHC  Ch
s3://vlex-tna-files/ewhc/costs/2008/2008-ewhc-90110-costs.xml,";<citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='793267377'>[2008] EWHC 910 (Ch)</citation>, notably at",Neutral HC,Caselaw,SyntalexMatch,793267377,,[2008] EWHC 910 (Ch),,Resolved match,EWHC  Ch
s3://vlex-tna-files/ewhc/costs/2008/2008-ewhc-90110-costs.xml,of mine at<citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='793625129'>[2007] EWHC 409 (Ch)</citation>.”</p> </content> </level>,Neutral HC,Caselaw,SyntalexMatch,793625129,,[2007] EWHC 409 (Ch),,Resolved match,EWHC  Ch
s3://vlex-tna-files/ewhc/costs/2008/2008-ewhc-90107-costs.xml,;<citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='793903277'>[2006] EWHC 1235 (QB)</citation>which was authority,Neutral HC,Caselaw,SyntalexMatch,793903277,,[2006] EWHC 1235 (QB),,Resolved match,EWHC  QB
s3://vlex-tna-files/ewhc/costs/2008/2008-ewhc-90107-costs.xml,",<citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='793468261'>[2003]EWHC 15 (QB)</citation>. I am",Neutral HC,Caselaw,SyntalexMatch,793468261,,[2003]EWHC 15 (QB),,Resolved match,EWHC  QB
s3://vlex-tna-files/ewhc/costs/2009/2009-ewhc-90154-costs.xml,Havlock-Allan QC at<citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='793732317'>[2007] EWHC 1789 (Ch)</citation>on summary judgment.,Neutral HC,Caselaw,SyntalexMatch,793732317,,[2007] EWHC 1789 (Ch),,Resolved match,EWHC  Ch
s3://vlex-tna-files/ewhc/costs/2009/2009-ewhc-90154-costs.xml,Lewison J (see<citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='793732317'>[2007] EWHC 2999 (Ch)</citation>and <citation entityType='SyntalexMatch',Neutral HC,Caselaw,SyntalexMatch,793732317,,[2007] EWHC 2999 (Ch),,Resolved match,EWHC  Ch
s3://vlex-tna-files/ewhc/costs/2009/2009-ewhc-90154-costs.xml,v Withers </span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='793684317'>(2009) EWHC 651 (Ch)</citation>Morgan J said,Neutral HC,Caselaw,SyntalexMatch,793684317,,(2009) EWHC 651 (Ch),,Resolved match,EWHC  Ch
s3://vlex-tna-files/ewhc/costs/2009/2009-ewhc-90154-costs.xml,Stone Rowe Brewer</span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='793526689'>[2008] EWHC 497 (QB)</citation>(see paragraph 79-80,Neutral HC,Caselaw,SyntalexMatch,793526689,,[2008] EWHC 497 (QB),,Resolved match,EWHC  QB
s3://vlex-tna-files/ewhc/costs/2009/2009-ewhc-90154-costs.xml,Stone Rowe Brewer</span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='793526689'>[2008] EWHC 497 (QB)</citation>paragraph 71) He,Neutral HC,Caselaw,SyntalexMatch,793526689,,[2008] EWHC 497 (QB),,Resolved match,EWHC  QB
s3://vlex-tna-files/ewhc/costs/2009/2009-ewhc-90144-costs.xml,"Ltd</span> <span style=""font-family:Arial""><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='792650933'>[2004] EWHC 63 (Ch.)</citation>was referred to",Neutral HC,Caselaw,SyntalexMatch,792650933,,[2004] EWHC 63 (Ch.),,Resolved match,EWHC  Ch
s3://vlex-tna-files/ewhc/costs/2009/2009-ewhc-90144-costs.xml,"Nast</span> <span style=""font-family:Arial""><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='792524613'>[2008] EWHC 2527 (TCC)</citation>. </span> </p>",Neutral HC,Caselaw,SyntalexMatch,792524613,,[2008] EWHC 2527 (TCC),,Resolved match,EWHC  TCC
s3://vlex-tna-files/ewhc/costs/2009/2009-ewhc-90133-costs.xml,"(Solicitors) v Mills-Owens</span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='793786833'>[2008] EWHC 1831 (QB)</citation>MacKay J, the",Neutral HC,Caselaw,SyntalexMatch,793786833,,[2008] EWHC 1831 (QB),,Resolved match,EWHC  QB
s3://vlex-tna-files/ewhc/costs/2011/2011-ewhc-90208-costs.xml,Ltd –v- Wishart</span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='792905377'>[2011] EWHC 19 (TCC)</citation>. At paragraph,Neutral HC,Caselaw,SyntalexMatch,792905377,,[2011] EWHC 19 (TCC),,Resolved match,EWHC  TCC
s3://vlex-tna-files/ewhc/costs/2011/2011-ewhc-90202-costs.xml,Akin Gump LLP</span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='793238437'>(2010) EWHC 2951 (Ch)</citation>(Lewison J) at,Neutral HC,Caselaw,SyntalexMatch,793238437,,(2010) EWHC 2951 (Ch),,Resolved match,EWHC  Ch
s3://vlex-tna-files/ewhc/costs/2011/2011-ewhc-90206-costs.xml,"Plc &amp; Ors</span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='793841097'>[2009] EWHC 823 (Comm)</citation>, where the",Neutral HC,Caselaw,SyntalexMatch,793841097,,[2009] EWHC 823 (Comm),,Resolved match,EWHC  Comm
s3://vlex-tna-files/ewhc/costs/2011/2011-ewhc-90206-costs.xml,"for Animal Health</span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='792684009'>[2009] EWHC 1617 (QB)</citation>, in which",Neutral HC,Caselaw,SyntalexMatch,792684009,,[2009] EWHC 1617 (QB),,Resolved match,EWHC  QB
s3://vlex-tna-files/ewhc/costs/2011/2011-ewhc-90206-costs.xml,"Trustees (Jersey) Ltd</span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='793864621'>[2009] EWHC 1674 (Ch)</citation>, had to",Neutral HC,Caselaw,SyntalexMatch,793864621,,[2009] EWHC 1674 (Ch),,Resolved match,EWHC  Ch
s3://vlex-tna-files/ewhc/costs/2011/2011-ewhc-90206-costs.xml,Strutt &amp; Parker</span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='793234817'>[2008] EWHC 616 (QB)</citation>paras 5 and,Neutral HC,Caselaw,SyntalexMatch,793234817,,[2008] EWHC 616 (QB),,Resolved match,EWHC  QB
s3://vlex-tna-files/ewhc/costs/2011/2011-ewhc-90206-costs.xml,Hampton Group Ltd</span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='793842009'>[2004] EWHC 1503 (Comm)</citation>where the Judge,Neutral HC,Caselaw,SyntalexMatch,793842009,,[2004] EWHC 1503 (Comm),,Resolved match,EWHC  Comm
s3://vlex-tna-files/ewhc/costs/2011/2011-ewhc-90206-costs.xml,Trustees (Jersey) Ltd</span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='793864621'>[2009] EWHC 1674 (Ch)</citation>were all based,Neutral HC,Caselaw,SyntalexMatch,793864621,,[2009] EWHC 1674 (Ch),,Resolved match,EWHC  Ch
s3://vlex-tna-files/ewhc/costs/2011/2011-ewhc-90206-costs.xml,Strutt &amp; Parker</span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='793234817'>[2008] EWHC 616 (QB)</citation>. The <span,Neutral HC,Caselaw,SyntalexMatch,793234817,,[2008] EWHC 616 (QB),,Resolved match,EWHC  QB
s3://vlex-tna-files/ewhc/costs/2005/2005-ewhc-90017-costs.xml,"NHS Trust </span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='793467597'>[2003] EWHC 1034 (QB)</citation>Gage J, a",Neutral HC,Caselaw,SyntalexMatch,793467597,,[2003] EWHC 1034 (QB),,Resolved match,EWHC  QB
s3://vlex-tna-files/ewhc/costs/2005/2005-ewhc-90017-costs.xml,East Kent Hospitals</span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='793468701'>[2003] EWHC 2551 (QB)</citation>Hallett J. For,Neutral HC,Caselaw,SyntalexMatch,793468701,,[2003] EWHC 2551 (QB),,Resolved match,EWHC  QB
s3://vlex-tna-files/ewhc/costs/2005/2005-ewhc-90017-costs.xml,and Islington H.A.</span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='793468261'>[2003] EWHC 15 (QB)</citation>Fulford J for,Neutral HC,Caselaw,SyntalexMatch,793468261,,[2003] EWHC 15 (QB),,Resolved match,EWHC  QB
s3://vlex-tna-files/ewhc/fam/2014/2014-ewhc-721-fam.xml,"style=""font-family:'Times New Roman';font-size:10pt;color:#666666""><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='792725965'>[2008] EWHC 2380 (Fam)</citation>, </span> <a",Neutral HC,Caselaw,SyntalexMatch,792725965,,[2008] EWHC 2380 (Fam),,Resolved match,EWHC  Fam
s3://vlex-tna-files/ewhc/fam/2014/2014-ewhc-175-fam.xml,"style=""font-style:italic"">Young v Young<citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='792567417'>[2013] EWHC 3637 (Fam)</citation></span>, a similar",Neutral HC,Caselaw,SyntalexMatch,792567417,,[2013] EWHC 3637 (Fam),,Resolved match,EWHC  Fam
s3://vlex-tna-files/ewhc/fam/2014/2014-ewhc-175-fam.xml,",<citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='794068497'>[2011] EWHC 3270 (Fam)</citation></span>. At paragraph",Neutral HC,Caselaw,SyntalexMatch,794068497,,[2011] EWHC 3270 (Fam),,Resolved match,EWHC  Fam
s3://vlex-tna-files/ewhc/fam/2014/2014-ewhc-175-fam.xml,"style=""font-style:italic"">M v M<citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='802813713'>[2013] EWHC 2534 (Fam)</citation></span>at para 202,",Neutral HC,Caselaw,SyntalexMatch,802813713,,[2013] EWHC 2534 (Fam),,Resolved match,EWHC  Fam
s3://vlex-tna-files/ewhc/fam/2014/2014-ewhc-4347-fam.xml,(Care proceedings: Causation)<citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='792921669'>[2011] EWHC 1715 (Fam)</citation>Hedley J (in,Neutral HC,Caselaw,SyntalexMatch,792921669,,[2011] EWHC 1715 (Fam),,Resolved match,EWHC  Fam
s3://vlex-tna-files/ewhc/fam/2014/2014-ewhc-4347-fam.xml,Council v EB</span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='804536745'>[2013] EWHC 968 (Fam)</citation>Baker J gave,Neutral HC,Caselaw,SyntalexMatch,804536745,,[2013] EWHC 968 (Fam),,Resolved match,EWHC  Fam
s3://vlex-tna-files/ewhc/fam/2014/2014-ewhc-4347-fam.xml,"style=""text-decoration:underline"">Lancashire v R</span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='793309085'>[2013] EWHC 3064 (Fam)</citation>Mostyn J commented",Neutral HC,Caselaw,SyntalexMatch,793309085,,[2013] EWHC 3064 (Fam),,Resolved match,EWHC  Fam
s3://vlex-tna-files/ewhc/fam/2014/2014-ewhc-4347-fam.xml,"Causation)</span> <span style=""text-decoration:none""><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='792921669'>[2011] EWHC 1715 (Fam)</citation>, must also",Neutral HC,Caselaw,SyntalexMatch,792921669,,[2011] EWHC 1715 (Fam),,Resolved match,EWHC  Fam
s3://vlex-tna-files/ewhc/fam/2014/2014-ewhc-4122-fam.xml,"</span> <span style=""font-family:Garamond;font-size:11pt"">at<citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='792806909'>[2014] EWHC 2314 (Fam)</citation>. This is",Neutral HC,Caselaw,SyntalexMatch,792806909,,[2014] EWHC 2314 (Fam),,Resolved match,EWHC  Fam
s3://vlex-tna-files/ewhc/fam/2014/2014-ewhc-4122-fam.xml,"</span> <span style=""font-family:Garamond;font-size:11pt""><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='802806169'>[2006] EWHC 1482 (Fam)</citation>, <citation entityType='SyntalexMatch'",Neutral HC,Caselaw,SyntalexMatch,802806169,,[2006] EWHC 1482 (Fam),,Resolved match,EWHC  Fam
s3://vlex-tna-files/ewhc/fam/2014/2014-ewhc-4122-fam.xml,"</span> <span style=""font-family:Garamond;font-size:11pt""><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='793674261'>[2006] EWHC 2339 (Fam)</citation>, <citation entityType='SyntalexMatch'",Neutral HC,Caselaw,SyntalexMatch,793674261,,[2006] EWHC 2339 (Fam),,Resolved match,EWHC  Fam
s3://vlex-tna-files/ewhc/fam/2014/2014-ewhc-4122-fam.xml,"</span> <span style=""font-family:Garamond;font-size:11pt""><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='805196857'>[2003] EWHC 611 (Fam)</citation>, <citation entityType='SyntalexMatch'",Neutral HC,Caselaw,SyntalexMatch,805196857,,[2003] EWHC 611 (Fam),,Resolved match,EWHC  Fam
s3://vlex-tna-files/ewhc/fam/2014/2014-ewhc-4122-fam.xml,"</span> <span style=""font-family:Garamond;font-size:11pt""><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='807234777'>[2004] EWHC 1364 (Fam)</citation>, <citation entityType='SyntalexMatch'",Neutral HC,Caselaw,SyntalexMatch,807234777,,[2004] EWHC 1364 (Fam),,Resolved match,EWHC  Fam
s3://vlex-tna-files/ewhc/fam/2014/2014-ewhc-4122-fam.xml,"</span> <span style=""font-family:Garamond;font-size:11pt""><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='793674261'>[2006] EWHC 2339 (Fam)</citation>, <citation entityType='SyntalexMatch'",Neutral HC,Caselaw,SyntalexMatch,793674261,,[2006] EWHC 2339 (Fam),,Resolved match,EWHC  Fam
s3://vlex-tna-files/ewhc/fam/2014/2014-ewhc-4122-fam.xml,"</span> <span style=""font-family:Garamond;font-size:11pt""><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='792818209'>[2007] EWHC 459 (Fam)</citation>, <citation entityType='SyntalexMatch'",Neutral HC,Caselaw,SyntalexMatch,792818209,,[2007] EWHC 459 (Fam),,Resolved match,EWHC  Fam
s3://vlex-tna-files/ewhc/fam/2014/2014-ewhc-4122-fam.xml,"</span> <span style=""font-family:Garamond;font-size:11pt""><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='793739249'>[2007] EWHC 2877 (Fam)</citation>, <citation entityType='SyntalexMatch'",Neutral HC,Caselaw,SyntalexMatch,793739249,,[2007] EWHC 2877 (Fam),,Resolved match,EWHC  Fam
s3://vlex-tna-files/ewhc/fam/2008/2008-ewhc-2380-fam.xml,"v Masry </span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='807109729'>[2002] EWHC 108 (Fam)</citation>, <citation entityType='SyntalexMatch'",Neutral HC,Caselaw,SyntalexMatch,807109729,,[2002] EWHC 108 (Fam),,Resolved match,EWHC  Fam
s3://vlex-tna-files/ewhc/fam/2008/2008-ewhc-2380-fam.xml,"v Masry </span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='807109729'>[2002] EWHC 108 (Fam)</citation>, <citation entityType='SyntalexMatch'",Neutral HC,Caselaw,SyntalexMatch,807109729,,[2002] EWHC 108 (Fam),,Resolved match,EWHC  Fam
s3://vlex-tna-files/ewhc/fam/2008/2008-ewhc-2380-fam.xml,"v Masry </span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='807109729'>[2002] EWHC 108 (Fam)</citation>, <citation entityType='SyntalexMatch'",Neutral HC,Caselaw,SyntalexMatch,807109729,,[2002] EWHC 108 (Fam),,Resolved match,EWHC  Fam
s3://vlex-tna-files/ewhc/fam/2008/2008-ewhc-2380-fam.xml,"v Masry </span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='807109729'>[2002] EWHC 108 (Fam)</citation>, <citation entityType='SyntalexMatch'",Neutral HC,Caselaw,SyntalexMatch,807109729,,[2002] EWHC 108 (Fam),,Resolved match,EWHC  Fam
s3://vlex-tna-files/ewhc/fam/2008/2008-ewhc-2380-fam.xml,"Offshore Corporations) </span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='804695541'>[2003] EWHC 3110 (Fam)</citation>, <citation entityType='SyntalexMatch'",Neutral HC,Caselaw,SyntalexMatch,804695541,,[2003] EWHC 3110 (Fam),,Resolved match,EWHC  Fam
s3://vlex-tna-files/ewhc/fam/2008/2008-ewhc-2380-fam.xml,"v A </span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='793733221'>[2007] EWHC 99 (Fam)</citation>, <citation entityType='SyntalexMatch'",Neutral HC,Caselaw,SyntalexMatch,793733221,,[2007] EWHC 99 (Fam),,Resolved match,EWHC  Fam
s3://vlex-tna-files/ewhc/fam/2008/2008-ewhc-2380-fam.xml,"v Whig </span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='793257565'>[2007] EWHC 1856 (Fam)</citation>, <citation entityType='SyntalexMatch'",Neutral HC,Caselaw,SyntalexMatch,793257565,,[2007] EWHC 1856 (Fam),,Resolved match,EWHC  Fam
s3://vlex-tna-files/ewhc/fam/2008/2008-ewhc-2380-fam.xml,v Simms </span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='793170381'>[2006] EWHC 2973 (Ch)</citation>. I do,Neutral HC,Caselaw,SyntalexMatch,793170381,,[2006] EWHC 2973 (Ch),,Resolved match,EWHC  Ch
s3://vlex-tna-files/ewhc/fam/2008/2008-ewhc-2380-fam.xml,"F Trust </span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='793559457'>[2005] EWHC 2908 (Fam)</citation>, <citation entityType='SyntalexMatch'",Neutral HC,Caselaw,SyntalexMatch,793559457,,[2005] EWHC 2908 (Fam),,Resolved match,EWHC  Fam
s3://vlex-tna-files/ewhc/fam/2008/2008-ewhc-2380-fam.xml,"F Trust </span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='793559457'>[2005] EWHC 2908 (Fam)</citation>, <citation entityType='SyntalexMatch'",Neutral HC,Caselaw,SyntalexMatch,793559457,,[2005] EWHC 2908 (Fam),,Resolved match,EWHC  Fam
s3://vlex-tna-files/ewhc/fam/2008/2008-ewhc-2380-fam.xml,"F Trust </span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='793559457'>[2005] EWHC 2908 (Fam)</citation>, <citation entityType='SyntalexMatch'",Neutral HC,Caselaw,SyntalexMatch,793559457,,[2005] EWHC 2908 (Fam),,Resolved match,EWHC  Fam
s3://vlex-tna-files/ewhc/fam/2008/2008-ewhc-2380-fam.xml,"F Trust </span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='793559457'>[2005] EWHC 2908 (Fam)</citation>, <citation entityType='SyntalexMatch'",Neutral HC,Caselaw,SyntalexMatch,793559457,,[2005] EWHC 2908 (Fam),,Resolved match,EWHC  Fam
s3://vlex-tna-files/ewhc/fam/2008/2008-ewhc-2380-fam.xml,"Company Shares) </span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='804696069'>[2003] EWHC 1222 (Fam)</citation>, <citation entityType='SyntalexMatch'",Neutral HC,Caselaw,SyntalexMatch,804696069,,[2003] EWHC 1222 (Fam),,Resolved match,EWHC  Fam
s3://vlex-tna-files/ewhc/fam/2008/2008-ewhc-2380-fam.xml,"v Mubarak </span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='793733725'>[2007] EWHC 220 (Fam)</citation>, <citation entityType='SyntalexMatch'",Neutral HC,Caselaw,SyntalexMatch,793733725,,[2007] EWHC 220 (Fam),,Resolved match,EWHC  Fam
s3://vlex-tna-files/ewhc/fam/2008/2008-ewhc-2380-fam.xml,"v Mubarak </span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='793733725'>[2007] EWHC 220 (Fam)</citation>, <citation entityType='SyntalexMatch'",Neutral HC,Caselaw,SyntalexMatch,793733725,,[2007] EWHC 220 (Fam),,Resolved match,EWHC  Fam
s3://vlex-tna-files/ewhc/fam/2008/2008-ewhc-2380-fam.xml,"Company Shares) </span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='804696069'>[2003] EWHC 1222 (Fam)</citation>, <citation entityType='SyntalexMatch'",Neutral HC,Caselaw,SyntalexMatch,804696069,,[2003] EWHC 1222 (Fam),,Resolved match,EWHC  Fam
s3://vlex-tna-files/ewhc/fam/2008/2008-ewhc-2380-fam.xml,"Company Shares) </span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='804696069'>[2003] EWHC 1222 (Fam)</citation>, <citation entityType='SyntalexMatch'",Neutral HC,Caselaw,SyntalexMatch,804696069,,[2003] EWHC 1222 (Fam),,Resolved match,EWHC  Fam
s3://vlex-tna-files/ewhc/fam/2008/2008-ewhc-1324-fam.xml,"Adoption Trade) </span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='793417941'>[2003] EWHC 219 (Fam)</citation>, <citation entityType='SyntalexMatch'",Neutral HC,Caselaw,SyntalexMatch,793417941,,[2003] EWHC 219 (Fam),,Resolved match,EWHC  Fam
s3://vlex-tna-files/ewhc/fam/2008/2008-ewhc-1324-fam.xml,D and L</span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='793557101'>[2005] EWHC 144 (Fam)</citation>. I have,Neutral HC,Caselaw,SyntalexMatch,793557101,,[2005] EWHC 144 (Fam),,Resolved match,EWHC  Fam
s3://vlex-tna-files/ewhc/fam/2008/2008-ewhc-1324-fam.xml,"v France </span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='793238317'>[2006] EWHC 1333 (Admin)</citation>, <citation entityType='SyntalexMatch'",Neutral HC,Caselaw,SyntalexMatch,793238317,,[2006] EWHC 1333 (Admin),,Resolved match,EWHC  Admin
s3://vlex-tna-files/ewhc/fam/2008/2008-ewhc-1324-fam.xml,"and other </span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='794023289'>[2006] EWHC 200 (Admin)</citation>, only in",Neutral HC,Caselaw,SyntalexMatch,794023289,,[2006] EWHC 200 (Admin),,Resolved match,EWHC  Admin
s3://vlex-tna-files/ewhc/fam/2008/2008-ewhc-1324-fam.xml,"another intervening </span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='803255885'>[2004] EWHC 2580 (Fam)</citation>, <citation entityType='SyntalexMatch'",Neutral HC,Caselaw,SyntalexMatch,803255885,,[2004] EWHC 2580 (Fam),,Resolved match,EWHC  Fam
s3://vlex-tna-files/ewhc/fam/2008/2008-ewhc-1324-fam.xml,"another intervening </span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='804999153'>[2006] EWHC 1620 (Fam)</citation>, <citation entityType='SyntalexMatch'",Neutral HC,Caselaw,SyntalexMatch,804999153,,[2006] EWHC 1620 (Fam),,Resolved match,EWHC  Fam
s3://vlex-tna-files/ewhc/fam/2008/2008-ewhc-1324-fam.xml,"style=""font-style:italic"">Re X (Children)</span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='793733625'>[2007] EWHC 1719 (Fam)</citation>, <citation entityType='SyntalexMatch'",Neutral HC,Caselaw,SyntalexMatch,793733625,,[2007] EWHC 1719 (Fam),,Resolved match,EWHC  Fam
s3://vlex-tna-files/ewhc/fam/2008/2008-ewhc-1324-fam.xml,"(Children) (No 2)</span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='793986637'>[2008] EWHC 242 (Fam)</citation>, comes down",Neutral HC,Caselaw,SyntalexMatch,793986637,,[2008] EWHC 242 (Fam),,Resolved match,EWHC  Fam
s3://vlex-tna-files/ewhc/fam/2009/2009-ewhc-2654-fam.xml,P (Inherited Property)</span><citation entityType='SyntalexMatch' ruleName='Neutral HC' vids='807234777'>[2004] EWHC 1364 (Fam)</citation>; <citation entityType='SyntalexMatch',Neutral HC,Caselaw,SyntalexMatch,807234777,,[2004] EWHC 1364 (Fam),,Resolved match,EWHC  Fam
